X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSG_clean,SYMBOL
ENSG00000188483.8,49.65849544,-3.58720073,0.80188607,-4.47345435,7.70E-06,0.001821564,ENSG00000188483,IER5L
ENSG00000150991.16,90.11880753,-3.084615389,0.693827394,-4.445796481,8.76E-06,0.001989172,ENSG00000150991,UBC
ENSG00000172216.6,28.46052798,-4.009758448,0.902183889,-4.444502385,8.81E-06,0.001989172,ENSG00000172216,CEBPB
ENSG00000229117.9,30.39044637,-3.635282007,0.822667036,-4.41889835,9.92E-06,0.002135493,ENSG00000229117,RPL41
ENSG00000237149.5,77.87338256,-2.833402749,0.641871355,-4.414284463,1.01E-05,0.00215284,ENSG00000237149,ZNF503-AS2
ENSG00000239523.8,119.2268832,-2.589086674,0.589148707,-4.394623363,1.11E-05,0.002296762,ENSG00000239523,MYLK-AS1
ENSG00000139725.8,46.62103756,-3.534076407,0.81217843,-4.351354674,1.35E-05,0.002585011,ENSG00000139725,RHOF
ENSG00000185697.17,110.2753624,-2.149034338,0.497843973,-4.31668244,1.58E-05,0.00293926,ENSG00000185697,MYBL1
ENSG00000114942.15,66.35568883,-2.524175931,0.586334274,-4.30501174,1.67E-05,0.003034283,ENSG00000114942,EEF1B2
ENSG00000166441.13,181.5231145,-2.319708936,0.538887992,-4.304621681,1.67E-05,0.003034283,ENSG00000166441,RPL27A
ENSG00000197837.4,69.51466336,-2.768050204,0.643611282,-4.300810567,1.70E-05,0.003069701,ENSG00000197837,H4C16
ENSG00000179431.7,48.34086471,-2.886879428,0.677953714,-4.25822496,2.06E-05,0.003435303,ENSG00000179431,FJX1
ENSG00000139112.11,110.4205686,-2.272410526,0.533606772,-4.25858637,2.06E-05,0.003435303,ENSG00000139112,GABARAPL1
ENSG00000272269.2,26.57565156,-3.869474975,0.910776734,-4.248543942,2.15E-05,0.003526622,ENSG00000272269,NUP153-AS1
ENSG00000265778.4,31.00348498,-3.17641405,0.748686286,-4.242650235,2.21E-05,0.003564755,ENSG00000265778,ZNF516-AS1
ENSG00000284934.3,35.76229856,-4.101697025,0.967827413,-4.238045925,2.25E-05,0.003604118,ENSG00000284934,LOC128125816
ENSG00000289153.2,45.39787934,-2.781546207,0.65685248,-4.234658912,2.29E-05,0.003622998,ENSG00000289153,LOC124909412
ENSG00000255008.5,46.94221476,-3.150684262,0.744453393,-4.232211569,2.31E-05,0.003636039,ENSG00000255008,LINC02739
ENSG00000062716.13,231.3965484,-2.330749362,0.551671409,-4.224886995,2.39E-05,0.0036979,ENSG00000062716,VMP1
ENSG00000165312.7,31.62429911,-3.179732895,0.755492406,-4.208821784,2.57E-05,0.003891442,ENSG00000165312,OTUD1
ENSG00000102554.14,88.87489273,-2.251608217,0.536347815,-4.198037454,2.69E-05,0.004014558,ENSG00000102554,KLF5
ENSG00000286153.2,79.5860423,-2.600084799,0.619262504,-4.198679531,2.68E-05,0.004014558,ENSG00000286153,RUNX1-AS1
ENSG00000279873.2,40.02426711,-3.048235819,0.73018826,-4.174588921,2.99E-05,0.004227658,ENSG00000279873,LINC01126
ENSG00000115520.9,85.33208961,-2.204512257,0.529565054,-4.162873362,3.14E-05,0.004355103,ENSG00000115520,COQ10B
ENSG00000230613.1,28.85852325,-3.955458359,0.951599241,-4.156643037,3.23E-05,0.004417116,ENSG00000230613,HM13-AS1
ENSG00000164040.18,82.62241983,-2.526884082,0.608387765,-4.153410416,3.28E-05,0.004443895,ENSG00000164040,PGRMC2
ENSG00000152795.18,92.02289969,-2.371729168,0.572498775,-4.142767236,3.43E-05,0.004559528,ENSG00000152795,HNRNPDL
ENSG00000232860.10,95.3736946,-2.539454424,0.617479384,-4.112614101,3.91E-05,0.004934213,ENSG00000232860,SMG7-AS1
ENSG00000258926.2,77.24532978,-2.245417395,0.546536577,-4.108448524,3.98E-05,0.004996424,ENSG00000258926,LOC105370525
